dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),1,0.16507,0.9511,,197.123,192.115,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),2,0.109897,0.9668,,395.316,193.229,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),3,0.08613,0.972,,599.023,198.659,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),4,0.073027,0.9768,,804.328,200.428,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),5,0.063792,0.9794,,1009.522,200.243,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),6,0.05751,0.9809,,1221.945,207.594,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),7,0.05295,0.9826,,1448.746,221.078,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),8,0.049621,0.9841,,1673.944,220.261,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),9,0.047027,0.9846,,1889.042,210.383,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),10,0.044659,0.9851,,2110.79,215.413,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),11,0.043188,0.9848,,2339.177,224.03,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),12,0.042092,0.9853,,6758.22,4414.617,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),13,0.040562,0.9857,,7322.202,559.608,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),14,0.039483,0.9865,,7541.101,214.517,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),15,0.038572,0.9867,,7759.009,213.701,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),16,0.03796,0.987,,7983.504,220.147,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),17,0.036973,0.987,,8372.58,247.668,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),18,0.035768,0.988,,8596.329,219.357,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),19,0.035641,0.9878,,11919.606,3318.782,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),20,0.03514,0.9883,,13970.59,2046.638,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
