scenario,algorithm,repeat,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.1,50000,advertise_keys,14.738872
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.1,50000,share_keys,8771.592968
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.1,50000,verify_sigs,38.629641
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.1,50000,masked_input,93.802217
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.1,50000,unmasking,9.690119
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.1,50000,total,8928.453817
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,advertise_keys,52.745846
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,share_keys,1967.541918
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,verify_sigs,3839.671205
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,masked_input,154.435821
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,unmasking,14.944764
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,total,6029.339553
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.2,50000,advertise_keys,14.863956
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.2,50000,share_keys,8534.293487
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.2,50000,verify_sigs,34.289861
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.2,50000,masked_input,82.419093
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.2,50000,unmasking,16.331279
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.2,50000,total,8682.197677
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,advertise_keys,55.364745
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,share_keys,2118.260924
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,verify_sigs,3672.588331
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,masked_input,138.500057
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,unmasking,27.404851
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,total,6012.118909
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.3,50000,advertise_keys,15.504588
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.3,50000,share_keys,17289.697633
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.3,50000,verify_sigs,36.726601
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.3,50000,masked_input,80.344638
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.3,50000,unmasking,23.511256
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.3,50000,total,17445.784715
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,advertise_keys,90.013091
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,share_keys,11338.047594
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,verify_sigs,2552.162027
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,masked_input,105.907044
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,unmasking,31.514538
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,total,14117.644293
