scenario,algorithm,repeat,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.0,100000,advertise_keys,14.238431
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.0,100000,share_keys,1e-06
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.0,100000,verify_sigs,42.614044
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.0,100000,masked_input,8793.506329
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.0,100000,unmasking,0.032828
clients,original,1,Original (DH + ECDSA),DH,classic,500,0.0,100000,total,8850.391633
clients,original,2,Original (DH + ECDSA),DH,classic,500,0.0,100000,advertise_keys,14.131724
clients,original,2,Original (DH + ECDSA),DH,classic,500,0.0,100000,share_keys,0.0
clients,original,2,Original (DH + ECDSA),DH,classic,500,0.0,100000,verify_sigs,42.831402
clients,original,2,Original (DH + ECDSA),DH,classic,500,0.0,100000,masked_input,9121.843803
clients,original,2,Original (DH + ECDSA),DH,classic,500,0.0,100000,unmasking,0.031133
clients,original,2,Original (DH + ECDSA),DH,classic,500,0.0,100000,total,9178.838063
clients,original,3,Original (DH + ECDSA),DH,classic,500,0.0,100000,advertise_keys,15.526182
clients,original,3,Original (DH + ECDSA),DH,classic,500,0.0,100000,share_keys,1e-06
clients,original,3,Original (DH + ECDSA),DH,classic,500,0.0,100000,verify_sigs,44.543062
clients,original,3,Original (DH + ECDSA),DH,classic,500,0.0,100000,masked_input,9036.91625
clients,original,3,Original (DH + ECDSA),DH,classic,500,0.0,100000,unmasking,0.039217
clients,original,3,Original (DH + ECDSA),DH,classic,500,0.0,100000,total,9097.024711
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,100000,advertise_keys,56.650662
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,100000,share_keys,860.2507
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,100000,verify_sigs,4356.753472
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,100000,masked_input,1597.94904
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,100000,unmasking,0.044404
