n_clients,threshold_rate,k_threshold,kem_backend,sig_backend,phase,time_sec
50,0.5,25,DH,classic,round0_keygen,5.418713
50,0.5,25,DH,classic,round0_sign,19.315293
50,0.5,25,DH,classic,round05_encaps,5e-06
50,0.5,25,DH,classic,round1_verify,0.02722
50,0.5,25,DH,classic,round2_masking,120.108603
50,0.5,25,DH,classic,round3_correction,61.255839
50,0.5,25,ML-KEM-768,ML-DSA-65,round0_keygen,0.76873
50,0.5,25,ML-KEM-768,ML-DSA-65,round0_sign,17.496821
50,0.5,25,ML-KEM-768,ML-DSA-65,round05_encaps,22.276743
50,0.5,25,ML-KEM-768,ML-DSA-65,round1_verify,2.288955
50,0.5,25,ML-KEM-768,ML-DSA-65,round2_masking,8.041632
50,0.5,25,ML-KEM-768,ML-DSA-65,round3_correction,0.2952
50,0.5,25,ML-KEM-768,SLH-DSA-shake_128f,round0_keygen,0.668584
50,0.5,25,ML-KEM-768,SLH-DSA-shake_128f,round0_sign,47.081188
50,0.5,25,ML-KEM-768,SLH-DSA-shake_128f,round05_encaps,22.20268
50,0.5,25,ML-KEM-768,SLH-DSA-shake_128f,round1_verify,2.363521
50,0.5,25,ML-KEM-768,SLH-DSA-shake_128f,round2_masking,7.903815
50,0.5,25,ML-KEM-768,SLH-DSA-shake_128f,round3_correction,0.300105
50,0.6,30,DH,classic,round0_keygen,4.14213
50,0.6,30,DH,classic,round0_sign,0.059604
50,0.6,30,DH,classic,round05_encaps,3e-06
50,0.6,30,DH,classic,round1_verify,0.02751
50,0.6,30,DH,classic,round2_masking,146.993042
50,0.6,30,DH,classic,round3_correction,60.963017
50,0.6,30,ML-KEM-768,ML-DSA-65,round0_keygen,0.773011
50,0.6,30,ML-KEM-768,ML-DSA-65,round0_sign,19.272794
50,0.6,30,ML-KEM-768,ML-DSA-65,round05_encaps,24.466918
50,0.6,30,ML-KEM-768,ML-DSA-65,round1_verify,2.431662
50,0.6,30,ML-KEM-768,ML-DSA-65,round2_masking,11.819269
50,0.6,30,ML-KEM-768,ML-DSA-65,round3_correction,0.292585
50,0.6,30,ML-KEM-768,SLH-DSA-shake_128f,round0_keygen,0.662464
50,0.6,30,ML-KEM-768,SLH-DSA-shake_128f,round0_sign,47.046366
50,0.6,30,ML-KEM-768,SLH-DSA-shake_128f,round05_encaps,21.602891
50,0.6,30,ML-KEM-768,SLH-DSA-shake_128f,round1_verify,2.351823
50,0.6,30,ML-KEM-768,SLH-DSA-shake_128f,round2_masking,11.184967
50,0.6,30,ML-KEM-768,SLH-DSA-shake_128f,round3_correction,0.315127
50,0.5,25,DH,classic,round0_keygen,1.608311
50,0.5,25,DH,classic,round0_sign,7.722076
50,0.5,25,DH,classic,round05_encaps,2e-06
50,0.5,25,DH,classic,round1_verify,0.009863
50,0.5,25,DH,classic,round2_masking,51.017887
50,0.5,25,DH,classic,round3_correction,27.112758
