dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),1,1.31154,0.7772,,90.088,84.15,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),2,0.52685,0.8653,,202.138,104.446,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),3,0.392223,0.8942,,319.309,109.165,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),4,0.336817,0.9082,,441.106,115.742,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),5,0.305157,0.9151,,565.736,115.556,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),6,0.277852,0.9236,,696.42,122.66,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),7,0.260093,0.9279,,859.057,152.675,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),8,0.245716,0.9315,,1013.145,145.888,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),9,0.230255,0.9346,,1172.958,151.68,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),10,0.219279,0.9386,,1286.137,107.428,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),11,0.207659,0.9418,,1409.658,115.727,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),12,0.197285,0.9442,,1550.141,132.7,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),13,0.18953,0.9459,,1639.133,82.86,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),14,0.180104,0.9481,,1739.794,94.644,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),15,0.172377,0.9506,,1851.653,103.204,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),16,0.16529,0.9531,,1958.915,101.42,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),17,0.158636,0.9552,,2054.799,89.433,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),18,0.15266,0.9567,,2151.054,90.293,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),19,0.146331,0.9594,,2236.307,79.634,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),20,0.141572,0.9601,,2331.954,90.032,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),21,0.135868,0.963,,2426.438,88.622,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),22,0.131718,0.9638,,2511.881,79.854,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),23,0.127499,0.9654,,2605.706,88.176,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),24,0.123438,0.9666,,2699.823,88.488,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),25,0.119433,0.9674,,2797.379,92.015,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),26,0.116821,0.9672,,2888.947,85.888,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),27,0.112568,0.9686,,2985.627,91.094,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),28,0.109975,0.9696,,3082.617,91.399,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),29,0.107694,0.9696,,3174.926,86.607,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),30,0.104666,0.9699,,3269.089,88.639,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),31,0.10147,0.9717,,3369.013,94.341,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),32,0.099426,0.9715,,3456.627,81.994,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),33,0.096924,0.9723,,3543.836,81.654,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),34,0.094667,0.9727,,3645.195,95.845,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),35,0.092639,0.9736,,3741.757,91.059,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
mnist,DH,classic,Classic (DH+ECDSA),36,0.090853,0.9736,,3833.453,86.142,0.001,64,0.31417,1.00E-06,0.016268,2.130224,0.436927,2.89759
