dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
spam,DH,classic,Classic (DH+ECDSA),1,0.69176,0.724417,,2.692,2.659,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),2,0.686377,0.867145,,3.71,0.98,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),3,0.681157,0.867145,,4.678,0.923,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),4,0.676025,0.867145,,5.688,0.977,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),5,0.670971,0.867145,,6.587,0.87,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),6,0.666015,0.867145,,7.453,0.819,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),7,0.661167,0.867145,,8.373,0.886,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),8,0.656417,0.867145,,9.285,0.88,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),9,0.65178,0.867145,,10.331,1.018,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),10,0.647207,0.867145,,11.248,0.876,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),11,0.642727,0.867145,,12.199,0.919,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),12,0.638308,0.867145,,12.997,0.764,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),13,0.633998,0.867145,,13.756,0.729,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),14,0.62973,0.867145,,14.626,0.819,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),15,0.625635,0.867145,,15.498,0.845,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),16,0.621573,0.867145,,16.511,0.965,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),17,0.617604,0.867145,,17.399,0.852,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),18,0.613708,0.867145,,18.353,0.924,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),19,0.609901,0.867145,,19.291,0.908,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),20,0.60622,0.867145,,20.336,1.018,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),21,0.602542,0.867145,,21.337,0.966,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
spam,DH,classic,Classic (DH+ECDSA),22,0.598948,0.867145,,22.209,0.836,0.001,64,0.219777,1e-06,0.008724,3.249679,0.773886,4.252067
