dataset,n_clients,local_epochs,dropout_rate,backend,round,loss,accuracy
mnist,5,1,0.0,original,1,0.182437,0.9464
mnist,5,1,0.0,original,2,0.114522,0.9655
mnist,5,1,0.0,original,3,0.086136,0.9745
mnist,5,1,0.0,original,4,0.070395,0.9786
mnist,5,1,0.0,original,5,0.062752,0.979
mnist,5,1,0.0,original,6,0.055274,0.9822
mnist,5,1,0.0,original,7,0.050464,0.9842
mnist,5,1,0.0,original,8,0.048635,0.9835
mnist,5,1,0.0,original,9,0.043136,0.9864
mnist,5,1,0.0,original,10,0.042473,0.987
mnist,5,1,0.0,original,11,0.040746,0.9868
mnist,5,1,0.0,original,12,0.039774,0.9876
mnist,5,1,0.0,original,13,0.038603,0.9875
mnist,5,1,0.0,original,14,0.037678,0.9878
mnist,5,1,0.0,original,15,0.036013,0.9876
mnist,5,1,0.0,original,16,0.035054,0.9881
mnist,5,1,0.0,original,17,0.034429,0.9883
mnist,5,1,0.0,original,18,0.033537,0.9891
mnist,5,1,0.0,original,19,0.03297,0.9883
mnist,5,1,0.0,original,20,0.033424,0.9886
mnist,5,1,0.0,pq,1,0.182437,0.9464
mnist,5,1,0.0,pq,2,0.114522,0.9655
mnist,5,1,0.0,pq,3,0.086136,0.9745
mnist,5,1,0.0,pq,4,0.070395,0.9786
mnist,5,1,0.0,pq,5,0.062752,0.979
mnist,5,1,0.0,pq,6,0.055274,0.9822
mnist,5,1,0.0,pq,7,0.050464,0.9842
mnist,5,1,0.0,pq,8,0.048635,0.9835
mnist,5,1,0.0,pq,9,0.043136,0.9864
mnist,5,1,0.0,pq,10,0.042473,0.987
mnist,5,1,0.0,pq,11,0.040746,0.9868
mnist,5,1,0.0,pq,12,0.039774,0.9876
mnist,5,1,0.0,pq,13,0.038603,0.9875
mnist,5,1,0.0,pq,14,0.037678,0.9878
mnist,5,1,0.0,pq,15,0.036013,0.9876
mnist,5,1,0.0,pq,16,0.035054,0.9881
mnist,5,1,0.0,pq,17,0.034429,0.9883
mnist,5,1,0.0,pq,18,0.033537,0.9891
mnist,5,1,0.0,pq,19,0.03297,0.9883
mnist,5,1,0.0,pq,20,0.033424,0.9886
mnist,5,1,0.05,original,1,0.182437,0.9464
mnist,5,1,0.05,original,2,0.114522,0.9655
mnist,5,1,0.05,original,3,0.089264,0.9738
mnist,5,1,0.05,original,4,0.073502,0.9777
mnist,5,1,0.05,original,5,0.061218,0.9816
mnist,5,1,0.05,original,6,0.058784,0.9805
mnist,5,1,0.05,original,7,0.05046,0.9827
mnist,5,1,0.05,original,8,0.047823,0.9845
mnist,5,1,0.05,original,9,0.046246,0.9848
mnist,5,1,0.05,original,10,0.04242,0.9868
mnist,5,1,0.05,original,11,0.042461,0.9861
mnist,5,1,0.05,original,12,0.039282,0.9873
mnist,5,1,0.05,original,13,0.039074,0.9872
mnist,5,1,0.05,original,14,0.038471,0.9873
mnist,5,1,0.05,original,15,0.035624,0.9887
mnist,5,1,0.05,original,16,0.036093,0.9879
mnist,5,1,0.05,original,17,0.034076,0.9888
mnist,5,1,0.05,original,18,0.032703,0.9892
mnist,5,1,0.05,original,19,0.034084,0.9875
mnist,5,1,0.05,original,20,0.032369,0.989
mnist,5,1,0.05,pq,1,0.182437,0.9464
mnist,5,1,0.05,pq,2,0.114522,0.9655
mnist,5,1,0.05,pq,3,0.089264,0.9738
mnist,5,1,0.05,pq,4,0.073502,0.9777
mnist,5,1,0.05,pq,5,0.061218,0.9816
mnist,5,1,0.05,pq,6,0.058784,0.9805
mnist,5,1,0.05,pq,7,0.05046,0.9827
