dataset,n_clients,local_epochs,n_rounds,dropout_rate,backend,backend_label,final_accuracy,final_loss,best_accuracy,best_loss,best_round,convergence_time_sec,total_time_sec,secagg_overhead_sec
mnist,5,1,20,0.0,original,Original (DH+ECDSA),0.9886,0.033424,0.9891,0.033537,18,29708.639,30019.813,0.764
mnist,5,1,20,0.0,pq,PQ (ML-KEM-768+ML-DSA-65),0.9886,0.033424,0.9891,0.033537,18,3042.488,3392.009,1.538
mnist,5,1,20,0.05,original,Original (DH+ECDSA),0.989,0.032369,0.9892,0.032703,18,3109.617,3437.609,1.194
mnist,5,1,20,0.05,pq,PQ (ML-KEM-768+ML-DSA-65),0.989,0.032369,0.9892,0.032703,18,4315.444,4793.853,2.283
mnist,5,1,20,0.1,original,Original (DH+ECDSA),0.9883,0.03333,0.9883,0.03333,20,3747.73,3747.731,1.365
mnist,5,1,20,0.1,pq,PQ (ML-KEM-768+ML-DSA-65),0.9883,0.03333,0.9883,0.03333,20,6443.417,6443.417,3.787
mnist,5,1,20,0.3,original,Original (DH+ECDSA),0.9879,0.034941,0.9893,0.03399,17,4167.795,5079.578,2.565
mnist,5,1,20,0.3,pq,PQ (ML-KEM-768+ML-DSA-65),0.9879,0.034941,0.9893,0.03399,17,4126.915,5024.219,3.329
mnist,5,1,20,0.5,original,Original (DH+ECDSA),0.9869,0.041047,0.9893,0.032994,19,2048.875,2104.218,1.184
mnist,5,1,20,0.5,pq,PQ (ML-KEM-768+ML-DSA-65),0.9869,0.041047,0.9893,0.032994,19,1835.682,1887.851,1.572
mnist,5,3,20,0.0,original,Original (DH+ECDSA),0.9908,0.030359,0.991,0.029123,18,12603.211,13687.613,1.602
mnist,5,3,20,0.0,pq,PQ (ML-KEM-768+ML-DSA-65),0.9908,0.030359,0.991,0.029123,18,10113.913,10993.091,1.506
mnist,5,3,20,0.05,original,Original (DH+ECDSA),0.9906,0.030094,0.991,0.029077,12,7342.889,13377.369,3.128
mnist,5,3,20,0.05,pq,PQ (ML-KEM-768+ML-DSA-65),0.9906,0.030094,0.991,0.029077,12,5343.958,8873.069,1.146
mnist,10,1,20,0.0,original,Original (DH+ECDSA),0.1081,1.9920851768920213e+22,0.1573,1.7477791086999332e+20,1,254.697,4803.67,2.125
mnist,10,1,20,0.0,pq,PQ (ML-KEM-768+ML-DSA-65),0.9865,0.042888,0.9865,0.042888,20,5289.014,5289.014,3.515
