dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),1,0.165912,0.9506,,138.752,135.389,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),2,0.110994,0.9658,,279.778,138.086,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),3,0.086225,0.9718,,422.536,139.799,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),4,0.072698,0.9765,,560.64,135.176,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),5,0.06353,0.9798,,715.31,151.395,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),6,0.057494,0.9818,,870.512,152.029,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),7,0.053239,0.9826,,1031.942,157.904,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),8,0.050371,0.9831,,1196.317,160.622,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),9,0.047476,0.984,,1358.812,158.651,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),10,0.045211,0.9846,,1514.29,151.715,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),11,0.043411,0.9847,,1681.979,163.838,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),12,0.041549,0.9853,,1848.448,162.509,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),13,0.040129,0.9861,,2007.548,155.091,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),14,0.039834,0.9868,,2172.003,160.451,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),15,0.038194,0.9873,,2323.652,147.621,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),16,0.037557,0.9873,,2488.554,160.821,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),17,0.037013,0.9875,,2663.605,170.954,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),18,0.035998,0.9875,,2833.25,165.55,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),19,0.036158,0.988,,3003.264,165.885,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),20,0.035185,0.9884,,3177.187,169.702,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),21,0.035179,0.9884,,3353.294,171.908,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),22,0.03464,0.9885,,3529.122,171.646,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),23,0.034012,0.9889,,3705.866,172.359,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),24,0.033484,0.9887,,3860.808,150.713,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),25,0.033358,0.9893,,4031.521,166.526,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),26,0.03309,0.9892,,4210.635,174.873,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
