scenario,algorithm,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,advertise_keys_sec,share_keys_sec,verify_sigs_sec,masked_input_sec,unmasking_sec,total_time_sec,client_time_sec,server_time_sec,client_time_pct,server_time_pct,advertise_mb,share_mb,masked_mb,total_comm_mb
clients,original,Original (DH + ECDSA),DH,classic,100,0,100000,8.582479,990.212771,5.745037,22.795911,0.023428,1027.359627,1021.591161,5.768465,99.439,0.561,0.000391,0,0.775,0.775391
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0,100000,30.916564,238.139764,507.730617,37.189635,0.024577,814.001157,306.245963,507.755194,37.622,62.378,0.006445,0.053856,0.775,0.835301
clients,original,Original (DH + ECDSA),DH,classic,200,0,100000,16.550632,2851.375925,7.706738,39.237745,0.012558,2914.883598,2907.164302,7.719296,99.735,0.265,0.000391,0,0.775,0.775391
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0,100000,25.28549,353.854534,1364.379271,162.397753,0.038898,1905.955946,541.537777,1364.418169,28.413,71.587,0.006445,0.108256,0.775,0.889701
clients,original,Original (DH + ECDSA),DH,classic,300,0,50000,23.390135,1.00E-06,39.398409,2384.667449,0.008138,2447.464132,0.000393,0,0.3875,0.387893,,,,
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0,50000,21.182766,198.013921,1033.940341,333.56933,0.008148,1586.714506,0.006445,0.162656,0.3875,0.556601,,,,
clients,original,Original (DH + ECDSA),DH,classic,400,0,50000,8.84689,0,19.782409,4383.592979,0.010767,4412.233045,0.000393,0,0.3875,0.387893,,,,
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0,50000,31.907256,396.95464,2037.532318,1890.097907,0.024068,4356.516189,0.006445,0.217056,0.3875,0.611001,,,,
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,2.877468,1.00E-06,1.034806,206.78062,62.847592,273.540487,0.000275,0,0.27125,0.271525,,,,
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,8.563622,27.563495,95.231425,22.550119,1.176096,155.084757,0.004511,0.026275,0.27125,0.302037,,,,
clients,original,Original (DH + ECDSA),DH,classic,200,0.3,50000,5.900422,1.00E-06,4.192004,819.516227,239.566851,1069.175505,0.000275,0,0.27125,0.271525,,,,
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.3,50000,16.81511,103.967852,374.093445,86.427238,4.365585,585.66923,0.004511,0.052931,0.27125,0.328693,,,,
clients,original,Original (DH + ECDSA),DH,classic,300,0.3,50000,7.138194,1.00E-06,8.474577,1871.213629,570.45174,2457.278141,0.000275,0,0.27125,0.271525,,,,
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,29.343895,259.596411,1075.516569,221.428968,13.480587,1599.36643,0.004511,0.079587,0.27125,0.355349,,,,
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,12.413118,0,20.577365,7189.834408,990.270447,8213.095338,0.000275,0,0.27125,0.271525,,,,
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,34.546797,443.605468,1604.664596,364.071548,18.549385,2465.437794,0.004511,0.106243,0.27125,0.382005,,,,
clients,original,Original (DH + ECDSA),DH,classic,500,0,50000,9.680525,5633.984237,30.715911,61.34952,0.013798,5735.743991,5705.014282,30.729709,99.464,0.536,0.000391,0,0.3875,0.387891
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0,50000,35.096162,1276.820854,2801.209902,117.304451,0.012881,4230.444249,1429.221467,2801.222783,33.784,66.216,0.006445,0.271456,0.3875,0.665401
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,14.738872,8771.592968,38.629641,93.802217,9.690119,8928.453817,8880.134057,48.31976,99.459,0.541,0.000352,0,0.34875,0.349102
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,52.745846,1967.541918,3839.671205,154.435821,14.944764,6029.339553,2174.723585,3854.615969,36.069,63.931,0.005801,0.21983,0.34875,0.574381
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,14.863956,8534.293487,34.289861,82.419093,16.331279,8682.197677,8631.576536,50.62114,99.417,0.583,0.000313,0,0.31,0.310313
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,55.364745,2118.260924,3672.588331,138.500057,27.404851,6012.118909,2312.125726,3699.993182,38.458,61.542,0.005156,0.173645,0.31,0.488801
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,15.504588,17289.69763,36.726601,80.344638,23.511256,17445.78472,17385.54686,60.237857,99.655,0.345,0.000274,0,0.27125,0.271524
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,90.013091,11338.04759,2552.162027,105.907044,31.514538,14117.64429,11533.96773,2583.676565,81.699,18.301,0.004511,0.132899,0.27125,0.408661
