scenario,algorithm,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,advertise_keys,2.685986
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,verify_sigs,1.230032
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,masked_input,416.3848
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,unmasking,0.004551
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,total,420.30537
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,advertise_keys,17.835033
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,share_keys,56.21739
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,verify_sigs,261.223963
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,masked_input,86.626213
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,unmasking,0.004736
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,total,421.907335
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,advertise_keys,8.810087
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,verify_sigs,11.454776
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,masked_input,1644.033372
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,unmasking,0.006384
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,total,1664.30462
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,advertise_keys,19.347581
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,share_keys,118.01846
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,verify_sigs,1468.002128
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,masked_input,497.662819
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,unmasking,0.019297
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,total,2103.050285
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,advertise_keys,23.390135
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,verify_sigs,39.398409
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,masked_input,6069.667449
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,unmasking,0.008138
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,total,6132.464131
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,advertise_keys,21.182766
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,share_keys,198.013921
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,verify_sigs,1033.940341
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,masked_input,333.56933
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,unmasking,0.008148
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,total,1586.714506
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,advertise_keys,8.84689
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,verify_sigs,19.782409
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,masked_input,4383.592979
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,unmasking,0.010767
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,total,4412.233046
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,advertise_keys,31.907256
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,share_keys,396.95464
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,verify_sigs,2037.532318
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,masked_input,1890.097907
