scenario,algorithm,repeat,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,1,Original (DH + ECDSA),DH,classic,20,0.0,100,advertise_keys,1.085727
clients,original,1,Original (DH + ECDSA),DH,classic,20,0.0,100,share_keys,21.049334
clients,original,1,Original (DH + ECDSA),DH,classic,20,0.0,100,verify_sigs,0.088504
clients,original,1,Original (DH + ECDSA),DH,classic,20,0.0,100,masked_input,0.034809
clients,original,1,Original (DH + ECDSA),DH,classic,20,0.0,100,unmasking,4.7e-05
clients,original,1,Original (DH + ECDSA),DH,classic,20,0.0,100,total,22.258421
dropout,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,advertise_keys,5.528158
dropout,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,share_keys,518.211324
dropout,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,verify_sigs,2.517756
dropout,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,masked_input,0.792705
dropout,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,unmasking,0.000223
dropout,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,total,527.050165
vector,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,advertise_keys,4.32908
vector,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,share_keys,502.332063
vector,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,verify_sigs,3.266753
vector,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,masked_input,1.16472
vector,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,unmasking,0.000269
vector,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100,total,511.092884
