scenario,algorithm,repeat,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100000,advertise_keys,8.582479
clients,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100000,share_keys,990.212771
clients,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100000,verify_sigs,5.745037
clients,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100000,masked_input,22.795911
clients,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100000,unmasking,0.023428
clients,original,1,Original (DH + ECDSA),DH,classic,100,0.0,100000,total,1027.359627
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,advertise_keys,30.916564
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,share_keys,238.139764
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,verify_sigs,507.730617
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,masked_input,37.189635
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,unmasking,0.024577
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,total,814.001157
clients,original,1,Original (DH + ECDSA),DH,classic,200,0.0,100000,advertise_keys,16.550632
clients,original,1,Original (DH + ECDSA),DH,classic,200,0.0,100000,share_keys,2851.375925
clients,original,1,Original (DH + ECDSA),DH,classic,200,0.0,100000,verify_sigs,7.706738
clients,original,1,Original (DH + ECDSA),DH,classic,200,0.0,100000,masked_input,39.237745
clients,original,1,Original (DH + ECDSA),DH,classic,200,0.0,100000,unmasking,0.012558
clients,original,1,Original (DH + ECDSA),DH,classic,200,0.0,100000,total,2914.883598
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,advertise_keys,25.28549
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,share_keys,353.854534
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,verify_sigs,1364.379271
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,masked_input,162.397753
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,unmasking,0.038898
clients,pq,1,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,total,1905.955946
