dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),1,1.06926,0.7942,,88.143,81.803,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),2,0.424039,0.8831,,185.873,90.914,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),3,0.341856,0.9039,,289.247,95.941,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),4,0.299604,0.9142,,390.407,94.517,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),5,0.273869,0.9211,,490.854,93.866,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),6,0.247303,0.9292,,589.094,90.956,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),7,0.231206,0.9332,,687.444,91.664,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),8,0.217522,0.9367,,791.534,96.623,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),9,0.203357,0.9398,,897.738,98.356,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),10,0.193855,0.9447,,1005.917,100.38,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),11,0.184534,0.9459,,1111.686,98.017,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),12,0.177351,0.9488,,1218.805,99.583,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),13,0.168982,0.9524,,1326.247,99.975,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),14,0.164568,0.9531,,1438.156,103.211,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),15,0.156656,0.956,,1545.435,100.09,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),16,0.151934,0.9575,,1652.047,99.199,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),17,0.149648,0.9588,,1759.988,100.453,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),18,0.143767,0.9596,,1870.324,102.6,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),19,0.140948,0.9605,,1979.279,101.19,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),20,0.137232,0.9618,,2088.655,101.558,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),21,0.132793,0.9615,,2199.782,103.126,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),22,0.131485,0.9623,,2309.586,102.052,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),23,0.128626,0.9621,,2420.667,103.104,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),24,0.126558,0.9636,,2531.659,103.254,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),25,0.123588,0.9636,,2644.451,105.058,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),26,0.120118,0.9648,,2756.586,104.106,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),27,0.11781,0.9648,,2869.477,104.81,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),28,0.116394,0.9655,,2979.838,102.322,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),29,0.116202,0.9648,,3095.437,107.245,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
