dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
webattack,DH,classic,Classic (DH+ECDSA),1,0.547895,0.733543,,7.946,7.666,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),2,0.523596,0.745032,,13.52,5.34,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),3,0.521906,0.749423,,18.757,5.0,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),4,0.526187,0.751819,,24.056,5.057,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),5,0.536091,0.754569,,28.405,4.131,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),6,0.544648,0.760025,,33.276,4.656,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),7,0.558109,0.768719,,38.688,5.187,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),8,0.569013,0.77382,,44.021,5.067,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),9,0.581227,0.776526,,50.824,6.374,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),10,0.594499,0.778699,,58.352,7.196,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),11,0.603535,0.78145,,65.445,6.778,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),12,0.61363,0.784821,,73.15,7.395,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),13,0.622405,0.787748,,80.2,6.748,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),14,0.630036,0.788724,,87.67,7.15,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),15,0.636696,0.790942,,95.174,7.201,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),16,0.644653,0.791474,,101.912,6.417,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),17,0.649881,0.790809,,109.32,7.108,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),18,0.65378,0.790942,,115.107,5.49,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),19,0.658168,0.79041,,122.657,7.237,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),20,0.662067,0.790277,,129.846,6.872,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),21,0.664096,0.789922,,137.805,7.619,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
webattack,DH,classic,Classic (DH+ECDSA),22,0.667817,0.789567,,144.399,6.292,0.001,64,0.232564,1e-06,0.008866,1.956912,0.420621,2.618965
